method,seed,mse_interp,mse_extrap
CleanTrain_PINN,0,0.003736590500921011,0.012199546210467815
CleanTrain_PINN,1,0.0017520985566079617,0.010602460242807865
CleanTrain_PINN,2,0.002656539436429739,0.008706949651241302
CleanTrain_PINN,3,0.008057362399995327,0.012208180502057076
CleanTrain_PINN,4,0.005353182088583708,0.015733806416392326
NoisyTrain_PINN,0,0.18646371364593506,0.007097471971064806
NoisyTrain_PINN,1,0.26805901527404785,0.016459301114082336
NoisyTrain_PINN,2,0.1904008686542511,0.011349921114742756
NoisyTrain_PINN,3,0.2483001947402954,0.020755920559167862
NoisyTrain_PINN,4,0.36231979727745056,0.15593476593494415
NoisyTrain_StdNN,0,0.16404041647911072,0.011339804157614708
NoisyTrain_StdNN,1,0.1406637579202652,0.05857709422707558
NoisyTrain_StdNN,2,0.11774209141731262,0.011227734386920929
NoisyTrain_StdNN,3,0.16666680574417114,0.007464241236448288
NoisyTrain_StdNN,4,0.2177511751651764,0.014983663335442543
