lam,seed,mse_interp,mse_extrap
0.01,0,0.0011258268496021628,0.026121001690626144
0.01,1,0.0015950263477861881,0.04235951602458954
0.01,2,0.003157304832711816,0.0204777792096138
0.01,3,0.003790940623730421,0.06729969382286072
0.01,4,0.004077429883182049,0.1386837512254715
0.1,0,0.001618873793631792,0.01682226173579693
0.1,1,0.0005652763647958636,0.02054145373404026
0.1,2,0.003082837210968137,0.012069229036569595
0.1,3,0.004093825351446867,0.021442018449306488
0.1,4,0.003404441988095641,0.026027686893939972
0.5,0,0.003736590500921011,0.012199546210467815
0.5,1,0.0017520985566079617,0.010602460242807865
0.5,2,0.002656539436429739,0.008706949651241302
0.5,3,0.008057362399995327,0.012208180502057076
0.5,4,0.005353182088583708,0.015733806416392326
1.0,0,0.005349870305508375,0.01080398354679346
1.0,1,0.0008032806217670441,0.009571289643645287
1.0,2,0.0044174958020448685,0.00792007427662611
1.0,3,0.00792770367115736,0.0115593783557415
1.0,4,0.00573952728882432,0.014120364561676979
5.0,0,0.011384998448193073,0.009951133280992508
5.0,1,0.00631986977532506,0.0082228509709239
5.0,2,0.005893690977245569,0.007897650822997093
5.0,3,0.013465452939271927,0.00933118537068367
5.0,4,0.018610114231705666,0.01016885507851839
