lam,mse_interp_mean,mse_interp_std,mse_extrap_mean,mse_extrap_std
0.01,0.0027493057074025272,0.0011818142707902691,0.05898834839463234,0.04303552063006439
0.1,0.0025530509417876603,0.0012808950541927928,0.01938052996993065,0.004685766353650653
0.5,0.004311154596507549,0.002224254357954517,0.011890188604593278,0.002313502687538006
1.0,0.004847575537860393,0.0023270735796136434,0.010795018076896668,0.0020690611103797293
5.0,0.011134825274348259,0.004733447836477097,0.009114335104823113,0.0009093219675123916
