method,bits,noise_std,mse_interp_mean,mse_interp_std,mse_extrap_mean,mse_extrap_std,mse_full_mean
PINN,4,0.0,0.005934585898648948,0.00838683377969509,0.007200211123563349,0.009709374597556797,0.006769898347556591
PINN,4,0.05,0.005763378797564655,0.008020022383407132,0.006798024359159172,0.008571977747860393,0.006446244509425015
PINN,8,0.0,2.6067368980875472e-05,2.7022594751331477e-05,2.6220109339192278e-05,1.7495053946822162e-05,2.6168177282670512e-05
PINN,8,0.05,6.786453304812312e-05,4.707204837965096e-05,8.567674449295737e-05,5.3618714174173854e-05,7.962059098645113e-05
StdNN,4,0.0,0.005776378163136542,0.0027769498907036527,0.014190240623429417,0.010336268202778838,0.011329527338966727
StdNN,4,0.05,0.005302320420742035,0.0025986486368561926,0.013542024791240692,0.009376299657238393,0.010740525461733342
StdNN,8,0.0,0.0003423360409215093,0.0001335482528282607,0.00773104727268219,0.009344350790704245,0.005218884744681418
StdNN,8,0.05,0.00041256107797380535,0.00020134825672737722,0.007343174470588565,0.008457663736475137,0.0049867657478898765
