method,hidden,mse_interp_mean,mse_interp_std,mse_extrap_mean,mse_extrap_std
StdNN,16,0.0034604512155056,0.0007710987978854883,0.4436671376228333,0.09006908554575824
PINN,16,0.01622907556593418,0.01013504315623567,0.012162653543055058,0.0018383412547478921
StdNN,32,0.002977810800075531,0.0005793480641685575,0.37072532773017886,0.10181856041446485
PINN,32,0.004311154596507549,0.002224254357954517,0.011890188604593278,0.002313502687538006
StdNN,64,0.0018853231566026806,0.0006925320032946509,0.12289048880338668,0.07740142498708671
PINN,64,0.001658258296083659,0.0008576618434272062,0.009866179898381233,0.0025133601638476417
StdNN,128,0.0020533843198791146,0.001260391499350373,0.10209178254008293,0.0795669700325746
PINN,128,0.001116881231428124,0.000753610859721085,0.008143826574087142,0.0013054939344174436
