method,seed,bits,noise_std,mse_interp,mse_extrap,l_physics,train_s
A_StdNN,0,2,0.0,1.8799161911010742,3.171321392059326,10.885893821716309,5.205283164978027
A_StdNN,0,2,0.05,1.8340460062026978,3.071957588195801,10.32998275756836,5.205283164978027
A_StdNN,0,2,0.1,1.7596126794815063,2.836728096008301,10.10378646850586,5.205283164978027
A_StdNN,0,4,0.0,0.004497469402849674,0.6146976947784424,1.6323575973510742,5.205283164978027
A_StdNN,0,4,0.05,0.00420603109523654,0.6097096800804138,1.4974924325942993,5.205283164978027
A_StdNN,0,4,0.1,0.0049099428579211235,0.5722423195838928,1.2714745998382568,5.205283164978027
A_StdNN,0,6,0.0,0.0028393755201250315,0.5279595851898193,1.3994625806808472,5.205283164978027
A_StdNN,0,6,0.05,0.0032985624857246876,0.5249826908111572,1.3095489740371704,5.205283164978027
A_StdNN,0,6,0.1,0.003927414305508137,0.5007814764976501,1.167480707168579,5.205283164978027
A_StdNN,0,8,0.0,0.002634003758430481,0.5285356640815735,1.3978275060653687,5.205283164978027
A_StdNN,0,8,0.05,0.002739492105320096,0.526339590549469,1.2986884117126465,5.205283164978027
A_StdNN,0,8,0.1,0.0033930628560483456,0.5034803152084351,1.1499766111373901,5.205283164978027
A_StdNN,1,2,0.0,0.26371681690216064,0.3532596826553345,1.1904878616333008,5.250575542449951
A_StdNN,1,2,0.05,0.2680009603500366,0.35608264803886414,1.2821824550628662,5.250575542449951
A_StdNN,1,2,0.1,0.2739059031009674,0.370288610458374,1.3622004985809326,5.250575542449951
A_StdNN,1,4,0.0,0.0050792633555829525,0.45815956592559814,1.221739649772644,5.250575542449951
A_StdNN,1,4,0.05,0.0043227835558354855,0.45694175362586975,1.2108620405197144,5.250575542449951
A_StdNN,1,4,0.1,0.004059094935655594,0.43217745423316956,1.1821991205215454,5.250575542449951
A_StdNN,1,6,0.0,0.0037599559873342514,0.4806768000125885,1.2779449224472046,5.250575542449951
A_StdNN,1,6,0.05,0.0036843973211944103,0.4797706604003906,1.2480151653289795,5.250575542449951
A_StdNN,1,6,0.1,0.004621173720806837,0.45854121446609497,1.2030690908432007,5.250575542449951
A_StdNN,1,8,0.0,0.004065143875777721,0.4909629821777344,1.305195689201355,5.250575542449951
A_StdNN,1,8,0.05,0.0038593581411987543,0.49074721336364746,1.2770589590072632,5.250575542449951
A_StdNN,1,8,0.1,0.004517069552093744,0.46959957480430603,1.2330639362335205,5.250575542449951
A_StdNN,2,2,0.0,2.021742820739746,3.626734972000122,12.282010078430176,1.5938584804534912
A_StdNN,2,2,0.05,1.9854236841201782,3.5420267581939697,14.603473663330078,1.5938584804534912
A_StdNN,2,2,0.1,1.934493899345398,3.3803155422210693,16.59315299987793,1.5938584804534912
A_StdNN,2,4,0.0,0.01021666917949915,0.29714640974998474,0.7933087944984436,1.5938584804534912
A_StdNN,2,4,0.05,0.010415945202112198,0.2972448468208313,0.7080730199813843,1.5938584804534912
A_StdNN,2,4,0.1,0.01240044366568327,0.2846689522266388,0.6118649840354919,1.5938584804534912
A_StdNN,2,6,0.0,0.0055099185556173325,0.3267853856086731,0.8695507049560547,1.5938584804534912
A_StdNN,2,6,0.05,0.005549352616071701,0.32841575145721436,0.7824077606201172,1.5938584804534912
A_StdNN,2,6,0.1,0.007003179285675287,0.3186720013618469,0.6854444146156311,1.5938584804534912
