method,mse_interp_mean,mse_interp_std,mse_extrap_mean,mse_extrap_std
CleanTrain_PINN,0.004311154596507549,0.002224254357954517,0.011890188604593278,0.002313502687538006
NoisyTrain_PINN,0.251108717918396,0.06407421336974417,0.04231947613880038,0.05699451302184588
NoisyTrain_StdNN,0.1613728493452072,0.033305155805189564,0.02071850746870041,0.019078110238788328
